reference	dataset	split_index	genome_index	sex_info	manifest	gglob_dir	name_mapping
hg19	1kg	/net/eichler/vol26/eee_shared/whole_genome_resources/1kg/split_index	/net/eichler/vol26/eee_shared/whole_genome_resources/1kg/index.genome	/net/eichler/vol26/eee_shared/whole_genome_resources/1kg/sex_info	/net/eichler/vol26/eee_shared/whole_genome_resources/1kg/1kg.manifest.filtered.tab	/net/eichler/vol26/eee_shared/whole_genome_resources/hg19/1kg/gglob	none
hg19	hgdp	/net/eichler/vol26/eee_shared/whole_genome_resources/hgdp/split_index	/net/eichler/vol26/eee_shared/whole_genome_resources/hgdp/index.genome	/net/eichler/vol26/eee_shared/whole_genome_resources/hgdp/sex_info	/net/eichler/vol26/eee_shared/whole_genome_resources/hgdp/hgdp.manifest.public.filtered.txt	/net/eichler/vol26/eee_shared/whole_genome_resources/hg19/hgdp/gglob	/net/eichler/vol26/eee_shared/whole_genome_resources/hgdp/name_mapping
hg19	archaics	/net/eichler/vol26/eee_shared/whole_genome_resources/archaics/split_index	/net/eichler/vol26/eee_shared/whole_genome_resources/archaics/index.genome	/net/eichler/vol26/eee_shared/whole_genome_resources/archaics/sex_info	/net/eichler/vol26/eee_shared/whole_genome_resources/archaics/archaics.manifest.filtered.tab	/net/eichler/vol26/eee_shared/whole_genome_resources/hg19/archaics/gglob	/net/eichler/vol26/eee_shared/whole_genome_resources/archaics/name_mapping
hg19	nhp	/net/eichler/vol26/eee_shared/whole_genome_resources/nhp/split_index	/net/eichler/vol26/eee_shared/whole_genome_resources/nhp/index.genome	/net/eichler/vol26/eee_shared/whole_genome_resources/nhp/sex_info	/net/eichler/vol26/eee_shared/whole_genome_resources/nhp/nhp.manifest.filtered.tab	/net/eichler/vol26/eee_shared/whole_genome_resources/hg19/nhp/gglob	none
hg19	simons	NA	NA	NA	/net/eichler/vol5/home/bnelsj/projects/simons/cores_cc/simons.manifest.filtered.tab	NA	none
hg38	archaics	/net/eichler/vol26/eee_shared/whole_genome_resources/hg38/archaics/index	/net/eichler/vol26/eee_shared/whole_genome_resources/hg38/archaics/index.genome	/net/eichler/vol26/eee_shared/whole_genome_resources/hg38/archaics/sex_info	/net/eichler/vol26/eee_shared/whole_genome_resources/hg38/archaics/archaics.manifest.filtered.tab	NA	none
hg38	hgdp	/net/eichler/vol26/eee_shared/whole_genome_resources/hg38/hgdp/split_index	/net/eichler/vol26/eee_shared/whole_genome_resources/hg38/hgdp/index.genome	/net/eichler/vol26/eee_shared/whole_genome_resources/hg38/hgdp/sex_info	/net/eichler/vol26/eee_shared/whole_genome_resources/hgdp/hgdp.manifest.public.filtered.txt	none
hg38	nhp	/net/eichler/vol26/eee_shared/whole_genome_resources/hg38/nhp/index	/net/eichler/vol26/eee_shared/whole_genome_resources/hg38/nhp/index.genome	/net/eichler/vol26/eee_shared/whole_genome_resources/hg38/nhp/sex_info	/net/eichler/vol26/eee_shared/whole_genome_resources/hg38/nhp/nhp.manifest.filtered.tab	none	none
hg38	bac_library	/net/eichler/vol26/eee_shared/whole_genome_resources/hg38/bac_library/index	/net/eichler/vol26/eee_shared/whole_genome_resources/hg38/bac_library/index.genome	/net/eichler/vol26/eee_shared/whole_genome_resources/hg38/bac_library/sex_info	/net/eichler/vol26/eee_shared/whole_genome_resources/hg38/bac_library/bac_library.manifest.tab	none	none
hg38	1kghc	/net/eichler/vol26/projects/1kg_high_coverage/nobackups/sv/dCGH/index	/net/eichler/vol26/projects/1kg_high_coverage/nobackups/sv/dCGH/index.genome	/net/eichler/vol26/projects/1kg_high_coverage/nobackups/sv/dCGH/sex_info	/net/eichler/vol26/eee_shared/whole_genome_resources/1kg/1kg.manifest.filtered.tab	none	none
